locus_tag	ftype	length_bp	gene	EC_number	COG	product
GFPBCAKN_00001	CDS	1005	ltaE	4.1.2.48	COG2008	Low specificity L-threonine aldolase
GFPBCAKN_00002	CDS	1722	poxB	1.2.5.1	COG0028	Pyruvate dehydrogenase [ubiquinone]
GFPBCAKN_00003	CDS	1653				hypothetical protein
GFPBCAKN_00004	CDS	213				hypothetical protein
GFPBCAKN_00005	CDS	117				hypothetical protein
GFPBCAKN_00006	CDS	321	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
GFPBCAKN_00007	CDS	2277	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
GFPBCAKN_00008	CDS	219	infA		COG0361	Translation initiation factor IF-1
GFPBCAKN_00009	CDS	693	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
GFPBCAKN_00010	CDS	1731	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
GFPBCAKN_00011	CDS	1770	cydD		COG4988	ATP-binding/permease protein CydD
GFPBCAKN_00012	CDS	975	trxB	1.8.1.9	COG0492	Thioredoxin reductase
GFPBCAKN_00013	CDS	495	lrp_1		COG1522	Leucine-responsive regulatory protein
GFPBCAKN_00014	CDS	3645				hypothetical protein
GFPBCAKN_00015	CDS	612	lolA		COG2834	Outer-membrane lipoprotein carrier protein
GFPBCAKN_00016	CDS	1344	rarA		COG2256	Replication-associated recombination protein A
GFPBCAKN_00017	CDS	1293	serS	6.1.1.11	COG0172	Serine--tRNA ligase
GFPBCAKN_00018	CDS	1152	ycaD_1			putative MFS-type transporter YcaD
GFPBCAKN_00019	CDS	354				hypothetical protein
GFPBCAKN_00020	CDS	1758	ycaO		COG1944	Ribosomal protein S12 methylthiotransferase accessory factor YcaO
GFPBCAKN_00021	CDS	258				hypothetical protein
GFPBCAKN_00022	CDS	1086	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
GFPBCAKN_00023	CDS	1287	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
GFPBCAKN_00024	CDS	684	cmk	2.7.4.25	COG0283	Cytidylate kinase
GFPBCAKN_00025	CDS	1674	rpsA		COG0539	30S ribosomal protein S1
GFPBCAKN_00026	CDS	288	ihfB		COG0776	Integration host factor subunit beta
GFPBCAKN_00027	CDS	2265				hypothetical protein
GFPBCAKN_00028	CDS	1749	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
GFPBCAKN_00029	CDS	981	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
GFPBCAKN_00030	CDS	183				hypothetical protein
GFPBCAKN_00031	CDS	747	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
GFPBCAKN_00032	CDS	789				hypothetical protein
GFPBCAKN_00033	CDS	789	cmoM	2.1.1.-	COG0500	tRNA 5-carboxymethoxyuridine methyltransferase
GFPBCAKN_00034	CDS	1323	mukF		COG3006	Chromosome partition protein MukF
GFPBCAKN_00035	CDS	726	mukE		COG3095	Chromosome partition protein MukE
GFPBCAKN_00036	CDS	4449	mukB		COG3096	Chromosome partition protein MukB
GFPBCAKN_00037	CDS	1848	ycbB	2.-.-.-	COG2989	putative L,D-transpeptidase YcbB
GFPBCAKN_00038	CDS	549				hypothetical protein
GFPBCAKN_00039	CDS	630	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
GFPBCAKN_00040	CDS	1191	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
GFPBCAKN_00041	CDS	1104	ompC_1		COG3203	Outer membrane porin C
GFPBCAKN_00042	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
GFPBCAKN_00043	CDS	1206	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
GFPBCAKN_00044	CDS	2616	pepN	3.4.11.2	COG0308	Aminopeptidase N
GFPBCAKN_00045	CDS	789	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
